t268357648;t290749718;t372226525;t751169994;t1159091985;t1311180441;t1431595225;t1824284809;t1990024365;t2411117902;t2451517896;t2643905994;t2748282437;t2821698184;t3138706091;t3649082374;t4125607023;t4127043053;t4157170894;Y
5196;276359612;431167128;121284407;48515450;166011618;921109940;98312084;169478079;6312041;657968955;9826609067;37774973212;68137977736;13372266;60405594573;0;3089376;2619429622;0
5623;214181461;51806072;118130310;31463634;21530710;382100098;27778472;114619034;13851893;1565608985;9817016283;27915039566;50769863698;6677725;43676505629;0;9077363;4425420648;0
4554;189901251;794312628;138489841;33825355;17494813;1063627920;24082270;109619394;3875413;649524255;5384409888;35295966550;52387129859;566331693;45681867835;0;6122502;1836158661;0
26510;201580127;78849232;117982836;62634778;9769408;320060553;15127315;105320591;5146214;664587953;6674042410;41135687471;61355610842;8685612;55649904878;0;7000340;2162213471;0
53306;199745031;117917693;118226807;19766776;7651198;1150268476;8640117;107980276;3841416;621780477;7800950542;41985320088;62075108957;11818561;55756829046;0;7682242;1814751685;0
2829085;555076840;70778452;122507202;1888328;7236494;837124382;3520083;125169097;29641501;655706317;11223876680;27891863593;52985281464;24252012;47923557238;0;16361370;2365307928;0
890620;413620320;494512528;127681445;3505790;17059013;750398254;3814431;134514051;34168813;233089563;13084880380;29406102116;52852581671;18901075;42719304017;0;3204748;1467309175;0
347024;434242744;37354262;138212570;9216877;21141951;437862900;3305887;163931330;18478182;260583374;18626701323;37592547153;70401357806;9279276;57889362715;0;2178022;1750783852;0
74616;421471516;47503812;124333744;29302760;21129920;730624031;3399720;220928721;4580304;304881647;26410025516;46682534641;90768669317;8638309;74174978985;0;4882483;1666839535;0
60567;320259046;24549183;136574725;27468888;3474125;943850140;3593818;294016068;4652290;337812645;41292659592;54494481666;118398000000;5676172;95297090072;0;4771103;2001914307;0
17410;346022336;15043700;172678118;30395525;2983841;1121766954;3582379;337128881;5601149;371820466;47482408945;55123248154;131012000000;3917889;104981000000;0;5704979;2334158683;0
17371;453497786;19551402;143712875;30160862;3073522;1395972530;3366464;384643712;6152064;398496412;50608743281;57982401872;140399000000;6253384;111588000000;0;6353954;2727569031;0
17948;316988833;15067052;225587699;33966841;7145396;1510623340;5136518;379776101;7003935;389268817;51691144014;60141257793;143682000000;5027780;114838000000;0;11153847;2679574041;0
20295;400875039;14832271;145895025;32966999;2585699;1504539025;3532984;385232790;5772122;400338129;55308234933;59233045226;149288000000;4245599;119342000000;0;5997976;2567920297;0
12690;423343007;14620205;157480977;33439097;8435744;1406352132;3512690;393631987;7855806;415928766;49284884485;58887059652;143243000000;4571658;113256000000;0;6475687;2670132057;0
